state,state_abbr,harris_Z_n,trump_Z_n,total_votes,harris_poll_validated,harris_share,trump_poll_validated,trump_share,num_respondents_validated,Pre-Election Classification
Minnesota,MN,2.0652219606478956,-5.093545101225806,3240916,0.5553505535055351,0.5112687277300615,0.3634686346863469,0.4687045267449079,542,Likely Blue
Tennessee,TN,3.942507899193926,-5.180077819676875,3063942,0.4207317073170731,0.3447405336001791,0.5411585365853658,0.6419393709149847,656,Red
New Hampshire,NH,2.0481069555760616,-4.002116069867655,822116,0.5828877005347594,0.5090376540536858,0.3422459893048128,0.481103639875638,187,Likely Blue
Michigan,MI,1.1577183724398767,-3.149926322702796,5662504,0.5028636884306987,0.4832725945977256,0.4444444444444444,0.4974188097703772,873,Swing
Nevada,NV,2.582751768051639,-4.334484688347308,1484840,0.546583850931677,0.4749313057299102,0.3881987577639751,0.505916462379785,322,Swing
North Carolina,NC,2.1842445729719984,-6.025869781267479,5679647,0.51431718061674,0.4780886910753432,0.4118942731277533,0.5103174545882869,908,Swing
Maine,ME,-0.9909736166332904,-0.033237267221929406,831375,0.4820143884892086,0.52401383250639,0.4532374100719424,0.4546408058938505,139,Likely Blue
Idaho,ID,-0.3988277072925671,-1.2077195538408843,904812,0.2887323943661972,0.3038995946119194,0.6197183098591549,0.6689190682705357,142,Red
West Virginia,WV,2.346529923458162,-3.4316926204744793,762390,0.354978354978355,0.2811015359592859,0.5887445887445888,0.6998465352378703,231,Red
Ohio,OH,7.221498396052608,-10.312626137996665,5765017,0.546583850931677,0.4394954949829289,0.4010647737355812,0.5516230047543659,1127,Red
Florida,FL,5.080812816054059,-9.573673810081724,10893548,0.4858949416342412,0.4298909776686163,0.4557392996108949,0.5608940264457457,2056,Red
South Carolina,SC,0.9867480176120283,-3.4899473808119468,2548140,0.425,0.4036089068889464,0.5057692307692307,0.5822862951015251,520,Red
Arkansas,AR,3.5014651446600373,-5.179020487542143,1182676,0.4502164502164502,0.3355990989924544,0.4718614718614718,0.6419687217800987,231,Red
Maryland,MD,-0.52474147225298,-2.321017249459508,3015650,0.6192468619246861,0.6309011324258452,0.2949790794979079,0.3433919718800258,478,Blue
Alaska,AK,1.37315437966637,-2.079846180087218,338177,0.4933333333333333,0.4140612756041954,0.4266666666666667,0.5454480937497228,75,Red
Rhode Island,RI,0.1831890500757464,-2.020488291602073,510659,0.5673076923076923,0.5584078612146266,0.3269230769230769,0.4198613947859531,104,Blue
