state,state_abbr,harris_Z_n,trump_Z_n,total_votes,harris_poll_validated,harris_share,trump_poll_validated,trump_share,num_respondents_validated,Pre-Election Classification
Kansas,KS,4.379597517754412,-7.375766958967623,1327591,0.5369127516778524,0.4104072715166041,0.3657718120805369,0.5715630792917397,298,Red
Utah,UT,0.7131838962086562,-2.8064845821285123,1487951,0.4098360655737705,0.3780809986350357,0.4672131147540984,0.5939832696103567,122,Red
Oregon,OR,2.6610609015867683,-6.110943707909475,2229467,0.6078125,0.5564558703941346,0.3015625,0.4124214442285981,640,Blue
Oklahoma,OK,3.257743070030656,-5.552485056332513,1566173,0.403954802259887,0.3189934956099997,0.5141242937853108,0.6616210342024795,354,Red
New Mexico,NM,2.2435762300111524,-3.518536611290452,923403,0.5989304812834224,0.5185189998299767,0.3368983957219251,0.4585116141056505,187,Likely Blue
Louisiana,LA,2.577599958937377,-4.6491171445250075,2006975,0.458041958041958,0.3821024178178602,0.465034965034965,0.6021524931800346,286,Red
Washington,WA,0.20360044734329785,-3.1851365490064225,3898835,0.5796178343949044,0.5760307886843121,0.3388535031847133,0.3926616540581994,785,Blue
New York,NY,2.6421138802195667,-10.250806397273285,8199062,0.5940815187046343,0.5634233525737457,0.3232830820770519,0.4365766474262543,1791,Blue
Mississippi,MS,1.2285765440175198,-3.0652794923526225,1228008,0.4212962962962963,0.3800203256004847,0.5046296296296297,0.6089080852893467,216,Red
Wyoming,WY,0.13326911162321262,-1.5984321731279292,266353,0.2692307692307692,0.2610332904078422,0.6153846153846154,0.7232244427507856,52,Red
Vermont,VT,-1.080386055438563,-1.9131296612337605,366389,0.5686274509803921,0.6435537093089585,0.2156862745098039,0.3258694993572405,51,Blue
Delaware,DE,0.7221437796009356,-2.2679931862565472,511697,0.6,0.5662687098028716,0.3181818181818182,0.4189022018890085,110,Blue
Montana,MT,-0.3358637157410408,-1.3736679152989615,602963,0.3697478991596639,0.3846106643359542,0.5210084033613446,0.583914767572803,119,Red
Kentucky,KY,5.237505153431758,-6.306141843243086,2073309,0.4645308924485126,0.3395745641387752,0.494279176201373,0.64510114025454,437,Red
Virginia,VA,-3.071433604077696,-1.4430964850153345,4482576,0.46398891966759,0.520993955261439,0.4362880886426593,0.4629224356709178,722,Likely Blue
Texas,TX,5.749876499214008,-10.871990837413168,11380105,0.4861426624261699,0.4248862378686313,0.4466151749204907,0.5618223206200645,2201,Red
Massachusetts,MA,-1.123287136090988,-2.10921904789118,3453369,0.5925925925925926,0.615771439426253,0.3209876543209876,0.3623412383675188,567,Blue
Illinois,IL,0.022024606253784402,-5.8516076856849955,5592368,0.5480225988700564,0.5476862395321624,0.352165725047081,0.437932374979615,1062,Blue
Arizona,AZ,-1.3354404019143742,-0.23069039622613238,3389319,0.4418938307030129,0.4670141701031977,0.5179340028694405,0.5223002024890546,697,Swing
Pennsylvania,PA,-2.4266943329633004,-2.1126150869158495,7034206,0.4561626429479034,0.4866280572391539,0.4771283354510801,0.5037253671558666,1574,Swing
Colorado,CO,1.0241910909504013,-3.7411188181264934,3190873,0.5631768953068592,0.54159441632431,0.3555956678700361,0.4316815492186621,554,Blue
Iowa,IA,3.891555231319945,-6.4470207913905435,1656849,0.5260416666666666,0.4268813875012147,0.3984375,0.5595072333085273,384,Red
New Jersey,NJ,-0.6058973459246364,-1.9975413454340867,4272725,0.5091575091575091,0.5197416168838388,0.4261294261294261,0.4606463088544196,819,Blue
South Dakota,SD,3.3936254417170244,-3.4921278484375864,428922,0.5416666666666666,0.3423909242239847,0.4305555555555556,0.6343367791812964,72,Red
Missouri,MO,4.5146646922832545,-7.462690716640468,2993596,0.4811083123425693,0.4010557870868347,0.4534005037783375,0.5852446355486846,794,Red
Wisconsin,WI,0.07549255456735716,-3.7880316353672008,3415213,0.4899536321483771,0.4884699724438856,0.4234930448222566,0.4970776346892566,647,Swing
Georgia,GA,2.097199695830444,-6.314678096315058,5250047,0.5217391304347826,0.4853322265495909,0.3997584541062802,0.5072558398048627,828,Swing
Indiana,IN,3.9045049850771902,-6.317495173641561,2933770,0.474015748031496,0.3966476581327098,0.4614173228346456,0.5863946389798791,635,Red
Nebraska,NE,1.441075245760856,-3.532313040267281,947159,0.4450867052023121,0.3906366301750815,0.4624277456647399,0.5963264879497528,173,Red
Alabama,AL,2.98797204838142,-5.615390360842025,2256352,0.4108695652173913,0.3423277928266511,0.5173913043478261,0.64822155408376,460,Red
Connecticut,CT,1.1045785105712542,-3.9636552557733284,1758429,0.5958904109589042,0.5641700631643359,0.3116438356164384,0.4190774833672556,292,Blue
North Dakota,ND,2.722483014276336,-3.781474480124783,365059,0.4833333333333333,0.3076954684037374,0.4333333333333333,0.6752470148660902,60,Red
Hawaii,HI,1.1169242334542868,-3.1224593499112516,516701,0.6627906976744186,0.6058513531036325,0.2325581395348837,0.3748028356825321,86,Blue
California,CA,2.947562639308082,-8.123089542572096,15862536,0.6150088809946714,0.584785371015076,0.3046181172291297,0.3834000439778355,2252,Blue
