Unnamed: 0,state,trump_votes,harris_votes,total_votes,last_updated,trump_share,harris_share,State,Pre-Election Classification,inputstate,harris_poll_all,trump_poll_all,num_respondents_all
32,Hawaii,193661,313044,516701,2024-12-05T19:39:01.242000Z,0.3748028356825321,0.6058513531036325,Hawaii,Blue,15,0.5686274509803921,0.2679738562091503,153
33,California,6081697,9276179,15862536,2024-12-16T17:03:45.700000Z,0.38340004397783556,0.584785371015076,California,Blue,6,0.5491945477075588,0.3006195786864932,4035
34,Minnesota,1519032,1656979,3240916,2024-12-05T19:39:07.973000Z,0.4687045267449079,0.5112687277300615,Minnesota,Likely Blue,27,0.5168961201501877,0.36295369211514394,799
35,Tennessee,1966865,1056265,3063942,2024-12-05T19:39:15.077000Z,0.6419393709149847,0.3447405336001791,Tennessee,Red,47,0.37246248896734335,0.5180935569285083,1133
36,New Hampshire,395523,418488,822116,2024-12-17T16:21:16.334000Z,0.481103639875638,0.5090376540536858,New Hampshire,Likely Blue,33,0.5441696113074205,0.3498233215547703,283
37,Michigan,2816636,2736533,5662504,2024-12-05T19:39:07.149000Z,0.4974188097703772,0.48327259459772565,Michigan,Swing,26,0.48299319727891155,0.4020408163265306,1470
38,Nevada,751205,705197,1484840,2024-12-05T19:39:12.168000Z,0.505916462379785,0.47493130572991027,Nevada,Swing,32,0.5135593220338983,0.3576271186440678,590
39,North Carolina,2898423,2715375,5679647,2024-12-13T21:47:21.773000Z,0.5103174545882869,0.47808869107534324,North Carolina,Swing,37,0.48731294729993496,0.38061158100195186,1537
40,Maine,377977,435652,831375,2024-12-30T21:16:30.530000Z,0.45464080589385053,0.52401383250639,Maine,Likely Blue,23,0.46875,0.4330357142857143,224
41,Idaho,605246,274972,904812,2024-12-05T19:39:02.216000Z,0.6689190682705357,0.3038995946119194,Idaho,Red,16,0.25609756097560976,0.6382113821138211,246
42,West Virginia,533556,214309,762390,2024-12-18T17:10:55.307000Z,0.6998465352378703,0.28110153595928594,West Virginia,Red,54,0.3200992555831266,0.5583126550868487,403
43,Ohio,3180116,2533699,5765017,2024-12-05T19:39:12.312000Z,0.5516230047543659,0.43949549498292895,Ohio,Red,39,0.47479596735477675,0.3912626020163226,2083
44,Florida,6110126,4683038,10893548,2025-02-21T21:56:08.064000Z,0.5608940264457457,0.42989097766861634,Florida,Red,12,0.450183460344341,0.42647473892181764,3543
45,South Carolina,1483747,1028452,2548140,2024-12-05T19:39:14.240000Z,0.5822862951015251,0.40360890688894646,South Carolina,Red,45,0.42681564245810055,0.45251396648044695,895
46,Arkansas,759241,396905,1182676,2024-12-05T19:38:56.858000Z,0.6419687217800987,0.3355990989924544,Arkansas,Red,5,0.3780487804878049,0.4634146341463415,492
47,Maryland,1035550,1902577,3015650,2024-12-06T19:05:09.395000Z,0.34339197188002585,0.6309011324258452,Maryland,Blue,24,0.5702764976958525,0.2903225806451613,868
48,Alaska,184458,140026,338177,2024-12-05T19:38:56.358000Z,0.5454480937497228,0.4140612756041954,Alaska,Red,2,0.452991452991453,0.452991452991453,117
49,Rhode Island,214406,285156,510659,2024-12-05T19:39:13.865000Z,0.4198613947859531,0.5584078612146266,Rhode Island,Blue,44,0.47191011235955055,0.33707865168539325,178
