state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes,trump_data_defect_index_lower_bound,harris_data_defect_index_lower_bound,trump_effective_sample_size,harris_effective_sample_size,trump_percentage_reduction,harris_percentage_reduction
Vermont,-0.031751852298417,-0.137671356367782,0.468698803866515,0.4789491962031454,0.0002319938644446,-0.0044,0.00016,85,366389,1.936e-05,2.5600000000000004e-08,11.985934818533813,9064.363206516195,85.89890021348963,-10563.956713548465
Delaware,-0.1070210137701966,-0.0464667296048517,0.4933793136538548,0.495589001190566,0.0003947648706167,-0.0044,0.00016,202,511697,1.936e-05,2.5600000000000004e-08,20.398800178923082,15426.592635310579,89.90158406984006,-7536.927047183455
Montana,-0.1099263282664447,-0.0088881209833531,0.4929080155396161,0.4865031358737682,0.0002869164442926,-0.0044,0.00016,173,602963,1.936e-05,2.5600000000000004e-08,14.824317611810226,11210.890193931482,91.43103028219062,-6380.283349093343
Kentucky,-0.1806461639512225,0.0845960519749688,0.4784826633189883,0.473564863063906,0.000407078732596,-0.0044,0.00016,844,2073309,1.936e-05,2.5600000000000004e-08,21.035357085551677,15907.988795948453,97.5076591130863,-1784.8327957284898
Virginia,-0.0737975418731268,-0.0460576765868425,0.498623359083209,0.4995590594138802,0.0002625722352504,-0.0044,0.00016,1177,4482576,1.936e-05,2.5600000000000004e-08,13.566177558714156,10259.421778777578,98.84739358039812,-771.6586048239234
Texas,-0.146142548000453,0.0163738284506486,0.4961632802547463,0.4943257253456187,0.0003709983343738,-0.0044,0.00016,4222,11380105,1.936e-05,2.5600000000000004e-08,19.17024923662103,14497.50098519465,99.54594388354758,-243.37993806714
Massachusetts,-0.0548167018353487,-0.0454333805385758,0.4806766744349175,0.4864123495689366,0.0002655377980169,-0.0044,0.00016,917,3453369,1.936e-05,2.5600000000000004e-08,13.719438381570471,10375.325276062667,98.50387803908718,-1031.4422329403128
Illinois,-0.103738160103582,-0.0389052477966253,0.4961326535558095,0.4977208279339746,0.0003461860878969,-0.0044,0.00016,1936,5592368,1.936e-05,2.5600000000000004e-08,17.887705279304036,13527.577117473676,99.07604828102768,-598.7384874728139
Arizona,-0.0472571732291579,-0.0444668379173112,0.4995024534163442,0.4989107485573138,0.0003428417331033,-0.0044,0.00016,1162,3389319,1.936e-05,2.5600000000000004e-08,17.714840592399312,13396.848198001979,98.47548704024103,-1052.912925817726
Pennsylvania,-0.0546642405078441,-0.0443587803713952,0.4999861214469397,0.4998211591627556,0.0003558326270228,-0.0044,0.00016,2503,7034206,1.936e-05,2.5600000000000004e-08,18.38632690866223,13904.65972467581,99.26542840956203,-455.51976526871
Colorado,-0.0798937752855594,-0.0179496643058556,0.495310598799216,0.4982669008981431,0.0002717124749245,-0.0044,0.00016,867,3190873,1.936e-05,2.5600000000000004e-08,14.038549724115716,10616.65322886251,98.38079011255874,-1124.527477377452
Iowa,-0.1550954686026449,0.0584127301458441,0.4964462601168071,0.4946247754674774,0.0003283340847596,-0.0044,0.00016,544,1656849,1.936e-05,2.5600000000000004e-08,16.96497538419053,12829.762634294086,96.88143834849438,-2258.4122489511187
New Jersey,-0.0597652515856971,-0.0454391205549107,0.4984488810231379,0.49961011655371,0.0003187661270032,-0.0044,0.00016,1362,4272725,1.936e-05,2.5600000000000004e-08,16.470442729734852,12455.77231436198,98.79071639282417,-814.520727926724
South Dakota,-0.0999856341431284,0.0469220528752519,0.481615645259989,0.4745096197476193,0.000305416835695,-0.0044,0.00016,131,428922,1.936e-05,2.5600000000000004e-08,15.780482625844117,11933.989985794613,87.95383005660754,-9009.916019690545
Missouri,-0.1284545120918944,0.0417425668226302,0.4926797662885822,0.490112275637934,0.0004058663894526,-0.0044,0.00016,1215,2993596,1.936e-05,2.5600000000000004e-08,20.972685116900813,15860.593119656238,98.27385307679829,-1205.3986106712953
Wisconsin,-0.1089625000560161,-0.002861801598946,0.499991459708054,0.4998670407864027,0.0003153536836501,-0.0044,0.00016,1077,3415213,1.936e-05,2.5600000000000004e-08,16.29406833507545,12322.389178400808,98.48708743406914,-1044.1401279852191
Georgia,-0.1378528547302357,0.0065831963359812,0.4999473500167054,0.499784810115321,0.0003062829723238,-0.0044,0.00016,1608,5250047,1.936e-05,2.5600000000000004e-08,15.825248467144478,11967.844153278009,99.01584275701838,-644.2689150048512
Indiana,-0.125355677940918,0.0096603196038392,0.4924794070370216,0.4892016899301828,0.0003674453007563,-0.0044,0.00016,1078,2933770,1.936e-05,2.5600000000000004e-08,18.986589175340736,14358.60806385143,98.23872085571979,-1231.9673528619137
Nebraska,-0.1752738563708055,0.0655037207021114,0.4906334759464198,0.4878930757251409,0.0003008998489166,-0.0044,0.00016,285,947159,1.936e-05,2.5600000000000004e-08,15.547025665680103,11757.438159670575,94.54490327519997,-4025.416898130026
Alabama,-0.1618269962606308,0.0318218670372945,0.4775252568241757,0.4744886458969113,0.0003908964558721,-0.0044,0.00016,882,2256352,1.936e-05,2.5600000000000004e-08,20.198828288412404,15275.363893111877,97.7098834140122,-1631.9006681532742
Connecticut,-0.0944506176956138,-0.0324536452538881,0.4934080930647806,0.4958651056421344,0.0003048175388372,-0.0044,0.00016,536,1758429,1.936e-05,2.5600000000000004e-08,15.749508310927347,11910.565660138805,97.06165889721505,-2122.1204589811205
North Dakota,-0.2611056007246761,0.136748976040707,0.4682824828888268,0.4615397784888557,0.0002711890406756,-0.0044,0.00016,99,365059,1.936e-05,2.5600000000000004e-08,14.011498146744977,10596.195473475887,85.84697156894447,-10603.227750985745
