state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes
Maine,-0.021605091608136173,-0.05526383250639,0.4979382928737663,0.49942300292272784,0.00026943316794466996,-0.000712302763662101,-0.0018165882521430578,224,831375
Idaho,-0.030707686156714598,-0.04780203363630969,0.47060211259047074,0.45993981237400017,0.000271879683293325,-0.0010760702991283312,-0.0017139288652954082,246,904812
West Virginia,-0.14153388015102164,0.03899771962384069,0.45832451642195476,0.4495369422423659,0.0005286008473353533,-0.007101761221465762,0.001995044409291754,403,762390
Ohio,-0.16036040273804325,0.0353004723718478,0.49732792539744913,0.49632570442466434,0.0003613172346239395,-0.006130234732826904,0.0013521863929760525,2083,5765017
Florida,-0.13441928752392812,0.0202924826757247,0.49627806474115377,0.49506032459462707,0.00032523838881510413,-0.004885489066791263,0.0007393474821242632,3543,10893548
South Carolina,-0.12977232862107818,0.02320673556915409,0.4931824871571016,0.49062078754253396,0.00035123658825653224,-0.004932312783051225,0.0008866337663759136,895,2548140
Arkansas,-0.17855408763375719,0.0424496814953505,0.4794214033980178,0.4721994745315873,0.00041600573614413415,-0.0075978793137005925,0.001833956158077932,492,1182676
Maryland,-0.05306939123486448,-0.06062463472999269,0.47484094761127477,0.48256076667051095,0.00028783181072074016,-0.00189639083858086,-0.002131714458716164,868,3015650
Alaska,-0.09245664075826981,0.03893017738725757,0.497930186647201,0.4925591696935729,0.0003459726711160132,-0.0034543448515337322,0.0014703611235581593,117,338177
Rhode Island,-0.08278274310055989,-0.0864977488550761,0.49353602092891574,0.49657680347387645,0.0003485692017569454,-0.0031321400139322853,-0.0032526593812426626,178,510659
