state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes
California,-0.07878192674870582,0.030223509979595442,0.48621440770058355,0.4927590089098685,0.00014196973296073213,-0.0019307564190821518,0.0007308681551204239,2252,15862536
Minnesota,-0.10523589205856104,0.04408182577547359,0.49901963223278084,0.49987299964625587,0.00016723667012659383,-0.0027273968141456554,0.0011405175392930334,542,3240916
Tennessee,-0.10078083432961882,0.07599117371689401,0.4794300939493248,0.47528359754281746,0.00021410326957886278,-0.0030761733453041743,0.0023397447012267246,656,3063942
New Hampshire,-0.13885765057082516,0.07385004648107352,0.49964279998219774,0.49991831413662563,0.00022746181804027656,-0.004191928155085214,0.0022282061943760083,187,822116
Michigan,-0.052974365325932804,0.01959109383297314,0.49999333741260843,0.4997201155732156,0.00015417207652303644,-0.0013156424764803514,0.0004868197562126467,873,5662504
Nevada,-0.11771770461580994,0.07165254520176684,0.4999649942475059,0.4993711651343044,0.00021685838204789742,-0.0034676670313354137,0.0021132134303370564,322,1484840
North Carolina,-0.09842318146053364,0.03622848954139685,0.49989353879683085,0.4995196638183608,0.0001598690904557977,-0.00248964167797923,0.0009170955970970567,908,5679647
Maine,-0.001403395821908071,-0.04199944401718142,0.4979382928737663,0.49942300292272784,0.0001671929033228086,-3.6446000888132304e-05,-0.0010874773691648672,139,831375
Idaho,-0.04920075841138083,-0.015167200245722212,0.47060211259047074,0.45993981237400017,0.00015693867897419574,-0.0013098362415539834,-0.0004131459451248517,142,904812
West Virginia,-0.11110194649328153,0.07387681901906912,0.45832451642195476,0.4495369422423659,0.00030299453035847795,-0.00422018779995636,0.0028610536317976508,231,762390
Ohio,-0.15055823101878468,0.10708835594874816,0.49732792539744913,0.49632570442466434,0.00019548944955409498,-0.004233170621875992,0.0030170297982410827,1127,5765017
Florida,-0.10515472683485083,0.0560039639656249,0.49627806474115377,0.49506032459462707,0.0001887355708167807,-0.0029111969413053336,0.0015542773277556895,2056,10893548
South Carolina,-0.07651706433229433,0.021391093111053583,0.4931824871571016,0.49062078754253396,0.00020407041999262208,-0.0022165881134946367,0.00062290437310351,520,2548140
Arkansas,-0.17010724991862686,0.1146173512239958,0.4794214033980178,0.4721994745315873,0.00019531976636035566,-0.00495930615924132,0.0033926603537488245,231,1182676
Maryland,-0.04841289238211788,-0.01165427050115908,0.47484094761127477,0.48256076667051095,0.00015850645797755046,-0.0012837213657869591,-0.0003040821916812208,478,3015650
Alaska,-0.11878142708305611,0.07927205772913787,0.497930186647201,0.4925591696935729,0.00022177735327949565,-0.003552931583902792,0.0023970024889166824,75,338177
Rhode Island,-0.09293831786287615,0.008899831093065691,0.49353602092891574,0.49657680347387645,0.00020365841001529397,-0.0026876416036013227,0.00025579422696480014,104,510659
