state,trump_sigma_g,harris_sigma_g,sample_ratio,sample_size,total_votes,trump_error,harris_error,trump_s_g_sq,harris_s_g_sq,trump_var_srs,harris_var_srs,trump_Z_n_N,harris_Z_n_N
Indiana,0.4924794070370216,0.4892016899301828,0.0003674453007563,1078,2933770,-0.125355677940918,0.0096603196038392,0.24253604902597375,0.23931837500421302,0.00022490438802828867,0.00022192062949158916,-8.358821392319731,0.6484741329015548
Nebraska,0.4906334759464198,0.4878930757251409,0.0003008998489166,285,947159,-0.1752738563708055,0.0655037207021114,0.24072146187032403,0.23803990466043753,0.0008443825572590045,0.0008349764157511898,-6.0318080901308955,2.2668817432013384
Alabama,0.4775252568241757,0.4744886458969113,0.0003908964558721,882,2256352,-0.1618269962606308,0.0318218670372945,0.22803047196656334,0.22513957486542677,0.0002584368885070757,0.0002551605086207883,-10.06638928364082,1.9921357407633342
Connecticut,0.4934080930647806,0.4958651056421344,0.0003048175388372,536,1758429,-0.0944506176956138,-0.0324536452538881,0.24345168475022502,0.24588234282417648,0.000454062455982936,0.0004585958835328233,-4.432482254387365,-1.5154737164479306
North Dakota,0.4682824828888268,0.4615397784888557,0.0002711890406756,99,365059,-0.2611056007246761,0.136748976040707,0.219289084475438,0.2130195506484267,0.0022144405624140253,0.0021511291119276892,-5.548609659436732,2.9484301543784825
Hawaii,0.4840719678383214,0.4886670554131208,0.0002961093553138,153,516701,-0.1068289794733817,-0.0372239021232403,0.23432612355116145,0.23879595320113495,0.0015310897868874743,0.001560295709054778,-2.7301640888025314,-0.9423634653126743
California,0.4862144077005835,0.4927590089098685,0.0002543729451583,4035,15862536,-0.0827804652913423,-0.0355908233075171,0.2364044651589502,0.24281145616906394,5.8573563880768064e-05,6.0161014003429996e-05,-10.816258014245012,-4.5886027458624365
Minnesota,0.4990196322327808,0.4998729996462558,0.0002465352388028,799,3240916,-0.105750834629764,0.0056273924201262,0.24902067019024846,0.24987309287487336,0.00031158858300357485,0.000312655181917711,-5.990913314251512,0.318254377341678
Tennessee,0.4794300939493248,0.4752835975428174,0.000369785067733,1133,3063942,-0.1238458139864763,0.0277219553671642,0.22985329000307075,0.22589457182002087,0.00020279637571814503,0.0001993036534690908,-8.696634886074696,1.9636597125993296
New Hampshire,0.4996427999821977,0.4999183141366256,0.0003442336604566,283,822116,-0.1312803183208676,0.0351319572537346,0.249643231233426,0.2499186248035628,0.0008818278997531107,0.0008828006869276694,-4.420869585504707,1.1824179511631032
Michigan,0.4999933374126084,0.4997201155732156,0.0002596024656229,1470,5662504,-0.0953779934438466,-0.0002793973188141,0.2499933816059088,0.24972023800918108,0.0001700193759916017,0.0001698336122582843,-7.314741325652543,-0.021439290587386955
