Unnamed: 0,state,trump_votes,harris_votes,total_votes,last_updated,trump_share,State,Pre-Election Classification,inputstate,trump_poll_likely,num_respondents_likely
24,Missouri,1751986,1200599,2993596,2024-12-12T15:57:58.757000Z,0.5852446355486846,Missouri,Red,29,0.5009057971014492,1104
25,Wisconsin,1697626,1668229,3415213,2025-01-17T15:32:00.741000Z,0.4970776346892566,Wisconsin,Swing,55,0.45794392523364486,963
26,Georgia,2663117,2548017,5250047,2024-12-05T19:39:00.323000Z,0.5072558398048627,Georgia,Swing,13,0.43794579172610554,1402
27,Indiana,1720347,1163673,2933770,2025-02-21T18:41:13.317000Z,0.5863946389798791,Indiana,Red,18,0.5259259259259259,945
28,Nebraska,564816,369995,947159,2024-12-05T19:39:10.493000Z,0.5963264879497528,Nebraska,Red,31,0.4864864864864865,259
29,Alabama,1462616,772412,2256352,2025-01-09T21:04:19.526000Z,0.64822155408376,Alabama,Red,1,0.5690322580645162,775
30,Connecticut,736918,992053,1758429,2024-12-16T20:14:15.565000Z,0.41907748336725564,Connecticut,Blue,9,0.40552016985138006,471
31,North Dakota,246505,112327,365059,2024-12-05T19:39:10.227000Z,0.6752470148660902,North Dakota,Red,38,0.46987951807228917,83
32,Hawaii,193661,313044,516701,2024-12-05T19:39:01.242000Z,0.3748028356825321,Hawaii,Blue,15,0.304,125
33,California,6081697,9276179,15862536,2024-12-16T17:03:45.700000Z,0.38340004397783556,California,Blue,6,0.3579513299377476,3534
34,Minnesota,1519032,1656979,3240916,2024-12-05T19:39:07.973000Z,0.4687045267449079,Minnesota,Likely Blue,27,0.4084124830393487,737
35,Tennessee,1966865,1056265,3063942,2024-12-05T19:39:15.077000Z,0.6419393709149847,Tennessee,Red,47,0.5750507099391481,986
36,New Hampshire,395523,418488,822116,2024-12-17T16:21:16.334000Z,0.481103639875638,New Hampshire,Likely Blue,33,0.3816793893129771,262
37,Michigan,2816636,2736533,5662504,2024-12-05T19:39:07.149000Z,0.4974188097703772,Michigan,Swing,26,0.4573584905660377,1325
38,Nevada,751205,705197,1484840,2024-12-05T19:39:12.168000Z,0.505916462379785,Nevada,Swing,32,0.416988416988417,518
39,North Carolina,2898423,2715375,5679647,2024-12-13T21:47:21.773000Z,0.5103174545882869,North Carolina,Swing,37,0.44370860927152317,1359
