state,trump_sigma_g,harris_sigma_g,sample_ratio,sample_size,total_votes,trump_error,harris_error,trump_s_g_sq,harris_s_g_sq,trump_var_srs,harris_var_srs,trump_Z_n_N,harris_Z_n_N
Kansas,0.4948522261062227,0.491907656987468,0.0002244667220552,298,1327591,-0.2057912672112027,0.1265054801612482,0.24487891013586222,0.24197332526786408,0.0008215568556026965,0.0008118087594252228,-7.1797302795573135,4.439994916118635
Utah,0.4910877162313745,0.484907988288675,8.199194731546939e-05,122,1487951,-0.1267701548562583,0.0317550669387348,0.24116730711348747,0.23513591513282195,0.001976619125707774,0.0019271855400102985,-2.851382791241279,0.7233546345556446
Oregon,0.4922702474952102,0.4968025107606046,0.0002870641278834,640,2229467,-0.1108589442285981,0.0513566296058654,0.24233010526318352,0.24681284540290663,0.00037853209528571286,0.0003855343660760791,-5.697959839293148,2.6155616809286344
Oklahoma,0.4731581567545052,0.4660865213332314,0.0002260286698851,354,1566173,-0.1474967404171687,0.0849613066498873,0.22387878424971583,0.21723678407399682,0.0006322829978132665,0.0006135245263633967,-5.865792162370293,3.4300876555397926
New Mexico,0.4982757407659755,0.4996569289475502,0.0002025117960413,187,923403,-0.1216132183837254,0.0804114814534456,0.2482789827097998,0.24965731701188365,0.001327426220786588,0.0013347954997872766,-3.3379174028570553,2.200952634730142
Louisiana,0.4894536424801668,0.4859013892917014,0.0001425030207152,286,2006975,-0.1371175281450696,0.0759395402240978,0.2395649875033071,0.2361002777554754,0.000837520450241015,0.0008254078068276348,-4.7380022799452535,2.643222224709486
Washington,0.4883425841460873,0.4941855108884127,0.0002013421958097,785,3898835,-0.0538081508734861,0.0035870457105923,0.23847854065709367,0.24421938181110722,0.0003037331526930755,0.0003110448536872791,-3.0874644710977517,0.20338803520735488
New York,0.4959611661695967,0.4959611661695967,0.0002184396215079,1791,8199062,-0.1132935653492023,0.0306581661308886,0.24597750834899518,0.24597750834899518,0.00013731087499451255,0.00013731087499451255,-9.668359198858992,2.616337138107473
Mississippi,0.487994906693306,0.4853914685395555,0.000175894619579,216,1228008,-0.104278455659717,0.0412759706958115,0.23813922288179365,0.23560506959054223,0.0011023024790452686,0.0010905723515113692,-3.140828323518911,1.2498849936809806
Wyoming,0.4474045687726057,0.4391980324485725,0.0001952296388627,52,266353,-0.1078398273661701,0.008197478822927,0.20017159968608428,0.1928956359171846,0.003848702312633981,0.003708807249458583,-1.7382891665643931,0.13460561350822667
Vermont,0.468698803866515,0.4789491962031454,0.0001391963186667,51,366389,-0.1101832248474366,-0.0749262583285663,0.2196791683249513,0.22939295863492085,0.004306835093988877,0.004497275058422565,-1.6789445674097108,-1.1172730422381048
Delaware,0.4933793136538548,0.495589001190566,0.0002149709691477,110,511697,-0.1007203837071903,0.0337312901971283,0.24342362285984082,0.245608938090076,0.002212466307706556,0.0022323285390783948,-2.141307502776797,0.7139271485251761
Montana,0.4929080155396161,0.4865031358737682,0.0001973587102359,119,602963,-0.0629063642114584,-0.0148627651762903,0.24295871472453504,0.23668569375268456,0.002041266930302155,0.0019885628720120526,-1.3923380288540068,-0.33329588594309373
Kentucky,0.4784826633189883,0.473564863063906,0.0002107741778963,437,2073309,-0.150821964053167,0.1249563283097374,0.22894576952213289,0.22426378769581953,0.0005237929374502953,0.000513081278444705,-6.589990262157642,5.516519674353035
Virginia,0.498623359083209,0.4995590594138802,0.0001610681001281,722,4482576,-0.0266343470282585,-0.057005035593849,0.2486253096882514,0.2495593095156716,0.0003443009197811304,0.00034559433998866847,-1.4354000683327022,-3.066407797484591
Texas,0.4961632802547463,0.4943257253456187,0.0001934077058164,2201,11380105,-0.1152071456995738,0.0612564245575386,0.24617802230546548,0.2443579442108525,0.00011182662861378872,0.00011099985620239194,-10.894487402329196,5.814206282077349
Massachusetts,0.4806766744349175,0.4864123495689366,0.0001641874934303,567,3453369,-0.0413535840465312,-0.0231788468336604,0.23105013225152965,0.2365970423251228,0.0004074289183588334,0.00041721022231003605,-2.048741806031971,-1.1347870087540535
Illinois,0.4961326535558095,0.4977208279339746,0.0001899016659847,1062,5592368,-0.085766649932534,0.0003363593378939,0.24614765393925314,0.2477260668564495,0.00023173343699594336,0.0002332194192689695,-5.634094087141636,0.022025264580855523
Arizona,0.4995024534163442,0.4989107485573138,0.0002056460309578,697,3389319,-0.0043661996196141,-0.0251203394001847,0.24950277458337367,0.24891200846614348,0.0003578930635983754,0.00035704565380135535,-0.23079529275577085,-1.3294243446440324
Pennsylvania,0.4999861214469397,0.4998211591627556,0.0002237637055269,1574,7034206,-0.0265970317047865,-0.0304654142912505,0.24998615717819997,0.24982122666199977,0.00015878667048877977,0.0001586819096179178,-2.11069824883684,-2.4184848947428077
Colorado,0.495310598799216,0.4982669008981431,0.0001736201973566,554,3190873,-0.0760858813486259,0.0215824789825491,0.2453326661685887,0.24826998233692757,0.0004427618618459757,0.0004480629560534233,-3.6159213301196327,1.0196046484329149
Iowa,0.4964462601168071,0.4946247754674774,0.0002317652363009,384,1656849,-0.1610697333085272,0.0991602791654519,0.2464590379356238,0.24465381616836057,0.0006416716596314015,0.0006369716508303239,-6.358541503591286,3.9289607364983454
New Jersey,0.4984488810231379,0.49961011655371,0.0001916809530217,819,4272725,-0.0345168827249934,-0.0105841077263296,0.24845134514143638,0.24961032698228103,0.000303301247558999,0.0003047160945505751,-1.981958098579344,-0.6063265068664359
South Dakota,0.481615645259989,0.4745096197476193,0.0001678626883209,72,428922,-0.2037812236257408,0.1992757424426819,0.23195417054323217,0.22515990417673604,0.0032210449179527435,0.0031266959476377617,-3.590589653433763,3.5637859430205885
Missouri,0.4926797662885822,0.490112275637934,0.0002652328503913,794,2993596,-0.131844131770347,0.0800525252557345,0.24273343319440419,0.2402101229723237,0.0003056285293627617,0.0003024513996935956,-7.541606333121338,4.603066370646615
Wisconsin,0.499991459708054,0.4998670407864027,0.0001894464561946,647,3415213,-0.073584589867,0.0014836597044914,0.2499915329803878,0.24986713162752677,0.0003863124775431005,0.00038612023985304546,-3.7438419456813072,0.07550453164228837
Georgia,0.4999473500167054,0.499784810115321,0.0001577128738085,828,5250047,-0.1074973856985824,0.0364069038851916,0.2499474003973286,0.24978490399965847,0.00030182123245713885,0.00030162501172054915,-6.187611078962037,2.096283767247326
Indiana,0.4924794070370216,0.4892016899301828,0.0002164450519297,635,2933770,-0.1249773161452335,0.0773680898987861,0.24253604902597375,0.23931837500421302,0.00038186386346180707,0.00037679775704898817,-6.395535486046917,3.98572857683014
Nebraska,0.4906334759464198,0.4878930757251409,0.000182651487237,173,947159,-0.1338987422850129,0.0544500750272305,0.24072146187032403,0.23803990466043753,0.0013911993857647605,0.0013757018862302287,-3.5898955197679294,1.468034683099327
Alabama,0.4775252568241757,0.4744886458969113,0.0002038688998879,460,2256352,-0.1308302497359339,0.0685417723907402,0.22803047196656334,0.22513957486542677,0.0004956173557502231,0.0004893340780608212,-5.876718894186573,3.098507841369217
Connecticut,0.4934080930647806,0.4958651056421344,0.0001660573159337,292,1758429,-0.1074336477508172,0.0317203477945682,0.24345168475022502,0.24588234282417648,0.000833600198003068,0.0008419229871996288,-3.7210149701709208,1.0932053711143401
North Dakota,0.4682824828888268,0.4615397784888557,0.0001643569943488,60,365059,-0.2419136815327568,0.1756378649295958,0.219289084475438,0.2130195506484267,0.003654217379677002,0.0035497423232557436,-4.001872440129085,2.9479474315202543
Hawaii,0.4840719678383214,0.4886670554131208,0.00016644055266,86,516701,-0.1422446961476484,0.056939344570786,0.23432612355116145,0.23879595320113495,0.0027242688625773825,0.0027762349752408276,-2.725279808845956,1.0806482464403115
California,0.4862144077005835,0.4927590089098685,0.0001419697329607,2252,15862536,-0.0787819267487058,0.0302235099795954,0.2364044651589502,0.24281145616906394,0.00010496043644767356,0.00010780505519159495,-7.689777680326132,2.9108869306144367
Minnesota,0.4990196322327808,0.4998729996462558,0.0001672366701265,542,3240916,-0.105235892058561,0.0440818257754735,0.24902067019024846,0.24987309287487336,0.0004593708944696922,0.0004609433670311194,-4.910007429883869,2.053221431805409
Tennessee,0.4794300939493248,0.4752835975428174,0.0002141032695788,656,3063942,-0.1007808343296188,0.075991173716894,0.22985329000307075,0.22589457182002087,0.00035031109399719156,0.00034427775465489954,-5.384569709846653,4.095516420175561
