state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes
Georgia,-0.11781218787904246,0.04605151096824073,0.4999473500167054,0.499784810115321,0.00026704522835700327,-0.003851379882773579,0.0015059523780423074,1402,5250047
Indiana,-0.09856395114919131,0.0446221831371314,0.4924794070370216,0.4892016899301828,0.00032211114027343656,-0.003592550312382553,0.0016373280238694164,945,2933770
Nebraska,-0.15617204779531274,0.08426684472839341,0.4906334759464198,0.48789307572514096,0.0002734493363838595,-0.005264340258262716,0.002856471542589904,259,947159
Alabama,-0.12822155408376001,0.05767220717334892,0.47752525682417574,0.47448864589691137,0.00034347477698515127,-0.004977218561347459,0.002253008190487804,775,2256352
Connecticut,-0.06663586977914521,-0.003660509024208558,0.4934080930647806,0.49586510564213443,0.00026785272535882884,-0.002210589018309806,-0.00012083260547880698,471,1758429
North Dakota,-0.2294638823359697,0.1862804352107204,0.4682824828888268,0.46153977848885575,0.0002273605088492545,-0.0073894704616343865,0.0060864631818000415,83,365059
Hawaii,-0.11880283568253208,0.026148646896367533,0.48407196783832146,0.48866705541312083,0.0002419194079361178,-0.0038177261001395377,0.0008323846320082682,125,516701
California,-0.06676167385899001,0.006612478447289627,0.48621440770058355,0.4927590089098685,0.0002227890924881116,-0.0020497209433012454,0.00020032033697829198,3534,15862536
Minnesota,-0.09692705048981981,0.02875840931200091,0.49901963223278084,0.49987299964625587,0.0002274048448031359,-0.0029293860421103638,0.0008676696844047375,737,3240916
Tennessee,-0.09021523298395018,0.0528253893207134,0.4794300939493248,0.47528359754281746,0.00032180765823896146,-0.0033761572167802724,0.0019941506215636674,986,3063942
New Hampshire,-0.11469142613517996,0.0672982238089096,0.49964279998219774,0.49991831413662563,0.00031868981992808803,-0.004098497066783103,0.002403576028661229,262,822116
Michigan,-0.07553201731754705,0.03068966955321778,0.49999333741260843,0.4997201155732156,0.00023399541969418476,-0.002311113968268377,0.0009395499551273736,1325,5662504
Nevada,-0.12367708014040285,0.07140074060213614,0.4999649942475059,0.4993711651343044,0.00034885913633792194,-0.00462115402043427,0.002671038036758431,518,1484840
North Carolina,-0.10707977982743333,0.03920343548830657,0.49989353879683085,0.4995196638183608,0.00023927543384298354,-0.003313835655529302,0.0012141505983434544,1359,5679647
Maine,0.010705728759614841,-0.03391482260539991,0.4979382928737663,0.49942300292272784,0.00024297098180724703,0.00033517427685034044,-0.0010586465324374226,202,831375
Idaho,-0.032147767822105267,-0.034841298647793895,0.47060211259047074,0.45993981237400017,0.0002464600381073637,-0.0010725652718624192,-0.0011893785745013972,223,904812
West Virginia,-0.10100932593554479,0.05901474311048149,0.45832451642195476,0.4495369422423659,0.0004512126339537507,-0.004682491648330388,0.0027892263618268173,344,762390
Ohio,-0.1388897446006886,0.07806762247041904,0.49732792539744913,0.49632570442466434,0.0003160441677795573,-0.004965578620532169,0.0027967053598617706,1822,5765017
Florida,-0.1086051805398785,0.053023271203079425,0.49627806474115377,0.49506032459462707,0.00028475571044438413,-0.0036933760245707278,0.0018076171745137943,3102,10893548
South Carolina,-0.11094871548369067,0.0498942778244294,0.4931824871571016,0.49062078754253396,0.0003080678455657852,-0.003949159951298753,0.0017852329245156336,785,2548140
Arkansas,-0.14070927593626992,0.08253692115867911,0.4794214033980178,0.4721994745315873,0.00033567942530329526,-0.005378244911105835,0.0032030080537303394,397,1182676
Maryland,-0.040946669434723415,-0.024723526248239036,0.47484094761127477,0.48256076667051095,0.00025765589508066255,-0.0013843516337824744,-0.0008224971493054478,777,3015650
Alaska,-0.09684996290860132,0.06257423841449616,0.497930186647201,0.4925591696935729,0.0003164023573454138,-0.003460346389181547,0.0022600900123871323,107,338177
Rhode Island,-0.06886801730250935,-0.0286065367113153,0.49353602092891574,0.49657680347387645,0.0002956963453106672,-0.0023998600830149805,-0.000990754495405582,151,510659
