state,trump_error,harris_error,trump_sigma_g,harris_sigma_g,sample_ratio,trump_data_defect_correlation,harris_data_defect_correlation,sample_size,total_votes,trump_data_defect_index_lower_bound,harris_data_defect_index_lower_bound,trump_effective_sample_size,harris_effective_sample_size,trump_percentage_reduction,harris_percentage_reduction
Vermont,-0.031751852298417,-0.137671356367782,0.468698803866515,0.4789491962031454,0.0002319938644446,-0.0010319623498713,-0.0043786756367463,85,366389,1.0649462915518956e-06,1.9172800331835617e-05,217.89615112764284,12.102963264135669,-156.34841309134453,85.76121968925216
Delaware,-0.1070210137701966,-0.0464667296048517,0.4933793136538548,0.495589001190566,0.0003947648706167,-0.0043106534776262,-0.0018632684758384,202,511697,1.8581733404170853e-05,3.4717694130531546e-06,21.253171750667082,113.75201647296281,89.47862784620442,43.68712055793921
Montana,-0.1099263282664447,-0.0088881209833531,0.4929080155396161,0.4865031358737682,0.0002869164442926,-0.0037781210935717,-0.0003095026313056,173,602963,1.4274198997691419e-05,9.579187878509016e-08,20.106122172674112,2996.0659776652888,88.37796406203809,-1631.8300448932305
Kentucky,-0.1806461639512225,0.0845960519749688,0.4784826633189883,0.473564863063906,0.000407078732596,-0.0076188628859892,0.0036049416911682,844,2073309,5.804707167550368e-05,1.2995604596722642e-05,7.015763266282748,31.337096334785635,99.16874842816556,96.28707389398275
Virginia,-0.0737975418731268,-0.0460576765868425,0.498623359083209,0.4995590594138802,0.0002625722352504,-0.0023985606305309,-0.0014941582998632,1177,4482576,5.753093098332789e-06,2.2325090250500883e-06,45.65217232671201,117.64395780250584,96.1213107623864,90.00476144413713
Texas,-0.146142548000453,0.0163738284506486,0.4961632802547463,0.4943257253456187,0.0003709983343738,-0.0056743825463394,0.0006381217973736,4222,11380105,3.219861728220122e-05,4.0719942828331387e-07,11.526458480132936,911.4355262865467,99.7269905618159,78.41223291599842
Massachusetts,-0.0548167018353487,-0.0454333805385758,0.4806766744349175,0.4864123495689366,0.0002655377980169,-0.0018585775934954,-0.0015222686476301,917,3453369,3.454310671043153e-06,2.3173018355575732e-06,76.89184684335135,114.61965074709204,91.61484767248076,87.50058334273805
Illinois,-0.103738160103582,-0.0389052477966253,0.4961326535558095,0.4977208279339746,0.0003461860878969,-0.0038910850304019,-0.0014546294059437,1936,5592368,1.5140542713817755e-05,2.1159467086361213e-06,22.872758312109646,163.66479023025354,98.8185558723084,91.54624017405715
Arizona,-0.0472571732291579,-0.0444668379173112,0.4995024534163442,0.4989107485573138,0.0003428417331033,-0.0017520698453832,-0.0016505728140694,1162,3389319,3.0697487431011107e-06,2.7243906145449786e-06,111.72227519910557,125.88478026530383,90.38534636840744,89.16654214584304
Pennsylvania,-0.0546642405078441,-0.0443587803713952,0.4999861214469397,0.4998211591627556,0.0003558326270228,-0.002062744958649,-0.0016744227837594,2503,7034206,4.254916764431865e-06,2.8036916587725787e-06,83.65834366661932,126.96092590564518,96.65767704088617,94.92764978403335
Colorado,-0.0798937752855594,-0.0179496643058556,0.495310598799216,0.4982669008981431,0.0002717124749245,-0.002659188483527,-0.0005938928421312,867,3190873,7.071283390922626e-06,3.5270870793467445e-07,38.43521856411117,770.5687910297302,95.56687213793413,11.122400111911169
