Unnamed: 0,state,trump_votes,harris_votes,total_votes,last_updated,trump_share,harris_share,State,Pre-Election Classification,inputstate,harris_poll_likely,trump_poll_likely,num_respondents_likely
31,North Dakota,246505,112327,365059,2024-12-05T19:39:10.227000Z,0.6752470148660902,0.30769546840373746,North Dakota,Red,38,0.4939759036144578,0.4457831325301205,83
32,Hawaii,193661,313044,516701,2024-12-05T19:39:01.242000Z,0.3748028356825321,0.6058513531036325,Hawaii,Blue,15,0.632,0.256,125
33,California,6081697,9276179,15862536,2024-12-16T17:03:45.700000Z,0.38340004397783556,0.584785371015076,California,Blue,6,0.5913978494623656,0.3166383701188455,3534
34,Minnesota,1519032,1656979,3240916,2024-12-05T19:39:07.973000Z,0.4687045267449079,0.5112687277300615,Minnesota,Likely Blue,27,0.5400271370420624,0.37177747625508817,737
35,Tennessee,1966865,1056265,3063942,2024-12-05T19:39:15.077000Z,0.6419393709149847,0.3447405336001791,Tennessee,Red,47,0.3975659229208925,0.5517241379310345,986
36,New Hampshire,395523,418488,822116,2024-12-17T16:21:16.334000Z,0.481103639875638,0.5090376540536858,New Hampshire,Likely Blue,33,0.5763358778625954,0.366412213740458,262
37,Michigan,2816636,2736533,5662504,2024-12-05T19:39:07.149000Z,0.4974188097703772,0.48327259459772565,Michigan,Swing,26,0.5139622641509434,0.4218867924528302,1325
38,Nevada,751205,705197,1484840,2024-12-05T19:39:12.168000Z,0.505916462379785,0.47493130572991027,Nevada,Swing,32,0.5463320463320464,0.38223938223938225,518
39,North Carolina,2898423,2715375,5679647,2024-12-13T21:47:21.773000Z,0.5103174545882869,0.47808869107534324,North Carolina,Swing,37,0.5172921265636498,0.4032376747608536,1359
40,Maine,377977,435652,831375,2024-12-30T21:16:30.530000Z,0.45464080589385053,0.52401383250639,Maine,Likely Blue,23,0.4900990099009901,0.46534653465346537,202
41,Idaho,605246,274972,904812,2024-12-05T19:39:02.216000Z,0.6689190682705357,0.3038995946119194,Idaho,Red,16,0.26905829596412556,0.6367713004484304,223
42,West Virginia,533556,214309,762390,2024-12-18T17:10:55.307000Z,0.6998465352378703,0.28110153595928594,West Virginia,Red,54,0.34011627906976744,0.5988372093023255,344
43,Ohio,3180116,2533699,5765017,2024-12-05T19:39:12.312000Z,0.5516230047543659,0.43949549498292895,Ohio,Red,39,0.5175631174533479,0.4127332601536773,1822
44,Florida,6110126,4683038,10893548,2025-02-21T21:56:08.064000Z,0.5608940264457457,0.42989097766861634,Florida,Red,12,0.4829142488716957,0.4522888459058672,3102
45,South Carolina,1483747,1028452,2548140,2024-12-05T19:39:14.240000Z,0.5822862951015251,0.40360890688894646,South Carolina,Red,45,0.4535031847133758,0.4713375796178344,785
46,Arkansas,759241,396905,1182676,2024-12-05T19:38:56.858000Z,0.6419687217800987,0.3355990989924544,Arkansas,Red,5,0.4181360201511335,0.5012594458438288,397
47,Maryland,1035550,1902577,3015650,2024-12-06T19:05:09.395000Z,0.34339197188002585,0.6309011324258452,Maryland,Blue,24,0.6061776061776062,0.30244530244530243,777
48,Alaska,184458,140026,338177,2024-12-05T19:38:56.358000Z,0.5454480937497228,0.4140612756041954,Alaska,Red,2,0.4766355140186916,0.4485981308411215,107
49,Rhode Island,214406,285156,510659,2024-12-05T19:39:13.865000Z,0.4198613947859531,0.5584078612146266,Rhode Island,Blue,44,0.5298013245033113,0.3509933774834437,151
